ZIP,CASES,DEATHS
00084,NA,NA
27006,116,3
27007,31,0
27009,13,0
27011,75,0
27012,413,11
27013,92,3
27014,7,0
27016,20,0
27017,203,1
27018,116,2
27019,38,0
27020,137,2
27021,156,1
27022,13,0
27023,155,1
27024,26,1
27025,248,2
27027,48,0
27028,414,3
27030,629,11
27040,127,1
27041,83,0
27042,12,1
27043,85,1
27045,169,3
27046,16,0
27047,9,0
27048,89,0
27050,35,0
27051,104,1
27052,92,0
27053,21,0
27054,43,0
27055,309,2
27101,310,11
27103,607,14
27104,438,11
27105,1049,9
27106,842,7
27107,1194,14
27110,NA,NA
27127,801,6
27203,737,19
27205,645,10
27207,87,1
27208,38,0
27209,321,17
27212,77,0
27214,128,1
27215,790,8
27217,1416,37
27229,214,3
27231,17,0
27233,19,0
27235,59,0
27239,103,3
27242,41,0
27243,65,1
27244,194,2
27248,61,2
27249,152,2
27252,12,1
27253,869,4
27258,158,2
27260,573,14
27262,492,6
27263,388,4
27265,685,21
27278,317,1
27281,52,0
27282,207,3
27283,37,1
27284,764,8
27288,322,3
27291,4,0
27292,669,6
27295,549,16
27298,149,0
27299,86,0
27301,107,2
27302,446,0
27305,37,1
27306,155,3
27310,77,1
27311,20,0
27312,237,20
27313,125,16
27314,7,0
27315,17,0
27316,195,11
27317,266,4
27320,390,8
27325,245,2
27326,36,2
27330,1014,9
27332,687,5
27341,77,0
27343,9,0
27344,899,22
27349,60,1
27350,78,0
27355,54,0
27356,79,1
27357,84,1
27358,186,1
27360,950,9
27370,174,1
27371,219,3
27376,140,5
27377,126,0
27379,87,1
27401,341,10
27403,241,8
27405,1013,17
27406,952,41
27407,886,13
27408,213,0
27409,252,2
27410,546,7
27411,1,0
27412,2,0
27413,NA,NA
27455,325,9
27501,364,2
27502,429,3
27503,29,0
27504,297,4
27505,146,5
27507,29,1
27508,50,0
27509,670,28
27510,245,4
27511,446,3
27513,416,2
27514,695,19
27516,730,12
27517,335,4
27518,192,1
27519,471,4
27520,948,26
27521,123,2
27522,254,1
27523,139,0
27524,323,4
27525,270,1
27526,614,13
27527,411,0
27529,973,22
27530,714,22
27531,3,0
27534,638,12
27536,461,32
27537,491,11
27539,286,2
27540,389,1
27541,39,0
27542,153,3
27544,53,0
27545,688,22
27546,464,27
27549,553,27
27551,20,1
27553,27,0
27557,171,1
27559,31,0
27560,355,1
27562,29,0
27563,100,1
27565,620,24
27569,177,0
27571,76,0
27572,61,0
27573,129,6
27574,149,0
27576,602,8
27577,702,6
27581,51,0
27583,89,0
27587,922,31
27589,144,4
27591,444,4
27592,252,1
27596,222,1
27597,427,5
27599,0,0
27601,159,2
27603,1010,5
27604,1176,20
27605,100,3
27606,811,2
27607,609,3
27608,158,1
27609,688,9
27610,2373,42
27612,515,6
27613,495,6
27614,384,6
27615,630,19
27616,1143,6
27617,226,1
27695,NA,NA
27701,655,6
27703,1610,9
27704,1523,18
27705,1260,41
27707,1117,5
27708,6,0
27709,0,0
27710,0,0
27712,401,21
27713,783,4
27801,476,13
27803,405,7
27804,694,19
27805,84,0
27806,19,0
27807,224,3
27808,35,1
27809,125,2
27810,44,0
27812,54,0
27814,19,0
27816,53,0
27817,123,0
27818,34,0
27820,41,2
27821,0,0
27822,177,3
27823,155,1
27824,23,0
27826,33,2
27828,138,1
27829,30,1
27830,80,1
27831,71,1
27832,68,0
27834,1403,10
27837,99,1
27839,40,0
27840,22,2
27842,13,0
27843,22,0
27844,73,0
27845,19,0
27846,48,1
27847,21,0
27849,32,0
27850,58,0
27851,124,0
27852,49,0
27853,10,0
27855,131,1
27856,344,4
27857,42,1
27858,1712,7
27860,45,1
27862,9,0
27863,183,1
27864,106,2
27865,22,1
27866,21,1
27869,82,11
27870,460,14
27871,77,3
27872,7,0
27874,76,1
27875,7,0
27876,27,1
27880,86,0
27882,261,3
27883,80,1
27884,24,0
27885,55,3
27886,555,26
27888,72,0
27889,598,14
27890,48,2
27891,84,5
27892,267,4
27893,1180,26
27896,399,13
27897,52,1
27909,654,30
27910,459,26
27915,10,0
27916,2,0
27917,4,0
27919,15,1
27920,28,0
27921,51,3
27922,27,0
27923,2,0
27924,80,1
27925,112,2
27926,14,0
27927,5,0
27928,48,1
27929,8,0
27932,253,3
27935,18,2
27936,10,1
27937,63,1
27938,15,0
27939,13,0
27941,5,0
27942,22,0
27943,8,0
27944,150,1
27946,16,0
27947,6,0
27948,98,0
27949,40,0
27950,7,0
27953,6,0
27954,42,0
