GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-31,67,16
370459505003,2021-03-31,90,24
370630004012,2021-03-31,54,11
370650207002,2021-03-31,60,8
371830524011,2021-03-31,230,69
370610905022,2021-03-31,94,20
370670016011,2021-03-31,52,16
370779703001,2021-03-31,47,14
371830523023,2021-03-31,163,38
370459506023,2021-03-31,103,13
370710332021,2021-03-31,154,36
370970615012,2021-03-31,180,44
371650106004,2021-03-31,90,22
370190205094,2021-03-31,59,17
370510008002,2021-03-31,41,11
370570602032,2021-03-31,141,26
370810110001,2021-03-31,25,9
371090712011,2021-03-31,129,23
371190055082,2021-03-31,84,30
371190058171,2021-03-31,46,10
371510313061,2021-03-31,234,45
371619611012,2021-03-31,68,17
371790202023,2021-03-31,109,26
371939604005,2021-03-31,81,19
370190205096,2021-03-31,96,30
370970610022,2021-03-31,63,15
371190058162,2021-03-31,36,7
371270108004,2021-03-31,87,14
371470001003,2021-03-31,168,23
371830534131,2021-03-31,582,155
371950008011,2021-03-31,20,4
370230203022,2021-03-31,209,54
370710303011,2021-03-31,87,19
370850703001,2021-03-31,120,30
371190033002,2021-03-31,9,2
371350108021,2021-03-31,108,22
371439201004,2021-03-31,132,30
370650215001,2021-03-31,68,13
371590509041,2021-03-31,80,14
371619611022,2021-03-31,51,10
371719305021,2021-03-31,38,12
370810128041,2021-03-31,108,32
371190031031,2021-03-31,72,20
371190056042,2021-03-31,114,22
371290120103,2021-03-31,71,16
371830538071,2021-03-31,116,35
370079203001,2021-03-31,106,20
370270309003,2021-03-31,87,22
370370201051,2021-03-31,57,24
370570616002,2021-03-31,63,4
370670012002,2021-03-31,45,13
370899307012,2021-03-31,95,23
371190058451,2021-03-31,81,25
371190062081,2021-03-31,197,52
371470016004,2021-03-31,123,29
371590511012,2021-03-31,67,16
371690701005,2021-03-31,60,12
371830529031,2021-03-31,219,51
371839801001,2021-03-31,32,1
371950001002,2021-03-31,33,13
370710310042,2021-03-31,101,17
370190203071,2021-03-31,27,3
370210027021,2021-03-31,129,35
370270303004,2021-03-31,78,22
370479308002,2021-03-31,91,17
371190054042,2021-03-31,98,34
371350107053,2021-03-31,33,9
371559602013,2021-03-31,101,30
371559620012,2021-03-31,40,9
371830537221,2021-03-31,55,12
370499610022,2021-03-31,77,7
371010408002,2021-03-31,319,155
371270105021,2021-03-31,139,34
371330012004,2021-03-31,75,20
371899209004,2021-03-31,66,13
370099704001,2021-03-31,73,23
370650206001,2021-03-31,63,9
370650208001,2021-03-31,60,7
370810145012,2021-03-31,31,8
370879202005,2021-03-31,81,20
371510315053,2021-03-31,63,8
371590518011,2021-03-31,218,41
371639702004,2021-03-31,154,32
370010212053,2021-03-31,255,61
370099708001,2021-03-31,60,12
370459509003,2021-03-31,136,91
370570603011,2021-03-31,258,54
370810126013,2021-03-31,50,9
370879205003,2021-03-31,112,28
370970614012,2021-03-31,166,35
371319203003,2021-03-31,52,16
371570403002,2021-03-31,59,18
371590511011,2021-03-31,154,30
370710301021,2021-03-31,235,61
371719306003,2021-03-31,90,17
371899204002,2021-03-31,62,7
371910004023,2021-03-31,60,14
370210016004,2021-03-31,56,11
370570605001,2021-03-31,108,24
370939701012,2021-03-31,288,76
370970616021,2021-03-31,625,229
371139707002,2021-03-31,73,14
371190030153,2021-03-31,72,15
371190037002,2021-03-31,64,15
371190055181,2021-03-31,164,51
371570407001,2021-03-31,118,26
370190205071,2021-03-31,58,19
370270308001,2021-03-31,100,16
370510010002,2021-03-31,70,23
370630017062,2021-03-31,76,14
370710316003,2021-03-31,91,23
370810126011,2021-03-31,37,9
370839305023,2021-03-31,81,15
370899314004,2021-03-31,50,11
371510310002,2021-03-31,84,24
371719310032,2021-03-31,90,16
371830541063,2021-03-31,128,35
371190004001,2021-03-31,78,21
371259504011,2021-03-31,33,1
371559607013,2021-03-31,112,23
371790204011,2021-03-31,347,66
371790208002,2021-03-31,41,5
370079204002,2021-03-31,51,12
370590802004,2021-03-31,79,18
370630011002,2021-03-31,54,19
371190053082,2021-03-31,22,3
371330017002,2021-03-31,73,27
371759604021,2021-03-31,67,27
371910008002,2021-03-31,130,18
370119301003,2021-03-31,30,6
370210027012,2021-03-31,98,20
370459505002,2021-03-31,126,19
370510033123,2021-03-31,93,26
370531103011,2021-03-31,102,34
370670040091,2021-03-31,137,33
370899309002,2021-03-31,102,23
371010402022,2021-03-31,311,65
371239604012,2021-03-31,49,13
371470005013,2021-03-31,96,20
371830543021,2021-03-31,52,14
370250417021,2021-03-31,91,17
370399301003,2021-03-31,49,17
370810162011,2021-03-31,258,58
370810167021,2021-03-31,112,19
370839309001,2021-03-31,38,7
371290103001,2021-03-31,104,27
371419202031,2021-03-31,413,79
370370208002,2021-03-31,126,39
370810160081,2021-03-31,161,44
371139707005,2021-03-31,92,20
371650106001,2021-03-31,24,5
371830506001,2021-03-31,29,9
371830538061,2021-03-31,294,109
371950004001,2021-03-31,44,11
370190203051,2021-03-31,170,32
370230206001,2021-03-31,90,34
370499601012,2021-03-31,126,44
370510033124,2021-03-31,55,18
370610903001,2021-03-31,44,13
370899314003,2021-03-31,88,13
371010413004,2021-03-31,138,20
371050306021,2021-03-31,87,12
371559615004,2021-03-31,46,6
370250423003,2021-03-31,54,11
370499605004,2021-03-31,89,22
370899309001,2021-03-31,59,11
371010409012,2021-03-31,233,42
371290111001,2021-03-31,33,11
371510311002,2021-03-31,78,14
370210013001,2021-03-31,72,18
370510032052,2021-03-31,128,35
370710312011,2021-03-31,73,10
371190010002,2021-03-31,26,3
371830523022,2021-03-31,130,19
370059501002,2021-03-31,70,12
370190205041,2021-03-31,79,23
370210025042,2021-03-31,116,25
370510038003,2021-03-31,46,12
371010401004,2021-03-31,92,23
370630006001,2021-03-31,59,18
370899307033,2021-03-31,128,31
371559602011,2021-03-31,80,25
371830530081,2021-03-31,144,24
370459510002,2021-03-31,69,17
371190006002,2021-03-31,49,14
371590512011,2021-03-31,186,44
371899207033,2021-03-31,114,16
370670008021,2021-03-31,26,8
370839303005,2021-03-31,50,10
370970604002,2021-03-31,44,10
371270106024,2021-03-31,37,6
371619612003,2021-03-31,108,22
371719310021,2021-03-31,95,28
371859501011,2021-03-31,82,23
370179505002,2021-03-31,93,24
370210026064,2021-03-31,50,13
370350118013,2021-03-31,111,13
370810158002,2021-03-31,56,19
371010408001,2021-03-31,53,5
371470003012,2021-03-31,114,25
371570409001,2021-03-31,40,6
371830530051,2021-03-31,30,7
370210027011,2021-03-31,93,18
370270301002,2021-03-31,562,358
370670004002,2021-03-31,28,4
371190058431,2021-03-31,133,29
371330023002,2021-03-31,183,24
371350110005,2021-03-31,83,26
371570407003,2021-03-31,33,6
371790203051,2021-03-31,203,52
371910009012,2021-03-31,60,9
371910020001,2021-03-31,19,7
370570620013,2021-03-31,140,27
370630016043,2021-03-31,118,28
370810103002,2021-03-31,52,14
370810126014,2021-03-31,115,34
