ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1237,12366,1839,14
27865,1603,16026,321,8
28119,1328,13283,403,9
27021,1345,13455,2419,53
28621,1654,16538,1720,39
27846,1463,14630,449,5
27962,1211,12112,901,21
28768,1020,10196,805,3
27539,863,8635,2294,8
27596,1378,13782,2571,7
27712,856,8565,1889,32
28739,934,9343,2055,26
28786,1056,10560,2306,51
28561,NA,NA,0,0
27009,1372,13721,403,4
28772,1189,11895,231,2
28023,1775,17752,2635,31
27875,1409,14090,72,2
28601,1713,17134,8541,120
28262,1429,14292,6243,49
27292,1409,14094,5844,52
27242,1064,10645,284,5
28054,1643,16429,6602,105
27850,826,8256,612,7
28073,1625,16250,911,13
28629,0,0,0,0
27840,1477,14766,79,3
28574,1552,15518,2747,28
28472,1571,15713,3143,77
28785,854,8545,710,5
27969,NA,NA,0,0
28318,1465,14654,671,6
28523,1495,14952,340,3
27604,1257,12566,5987,53
28173,1254,12540,8005,35
27883,1101,11007,480,8
27612,1019,10189,3995,40
28501,1337,13375,2609,47
27941,970,9701,65,0
28562,1274,12742,4843,54
28658,1808,18076,4674,55
27262,1140,11404,2824,66
27544,1210,12095,519,4
28347,1386,13855,253,1
28801,773,7734,1298,26
28572,1676,16758,1069,13
27403,925,9249,1968,23
28395,1389,13888,369,3
27332,1302,13020,4368,34
27513,663,6634,3251,25
27932,1515,15146,1915,36
27343,886,8859,163,0
27886,1378,13781,2976,75
28391,1284,12843,684,10
27411,2113,21133,179,0
28429,1256,12561,1073,12
28420,1208,12080,618,12
28518,1599,15995,1408,21
28630,1538,15381,3133,29
28716,1105,11051,2061,51
28146,1652,16516,5018,72
28751,1070,10701,400,9
28128,1451,14510,1175,17
28672,0,0,0,0
28722,1074,10738,736,13
28439,1647,16471,253,10
27842,662,6616,95,0
28649,1335,13346,138,1
27042,1222,12222,88,2
28215,1584,15839,9544,75
27821,0,0,0,0
27806,893,8931,218,4
27408,935,9353,1628,8
27409,1125,11246,2019,20
28587,0,0,0,0
27808,1036,10359,257,6
27881,0,0,0,0
28403,1295,12950,5432,30
27104,1115,11153,3277,41
27013,1509,15089,980,12
28611,1074,10736,105,0
28269,1305,13046,10628,65
27050,1210,12096,494,5
28444,1370,13696,312,1
28673,1272,12717,842,6
27810,1160,11600,490,9
27157,0,0,0,0
28366,1844,18436,950,13
27509,2937,29373,2037,39
27239,1359,13594,1309,19
28544,1204,12039,675,9
27964,505,5054,33,0
28409,1055,10554,3691,29
27278,824,8245,2241,23
27979,673,6729,122,0
28217,1393,13930,4301,24
28369,1664,16644,373,8
28735,0,0,0,0
27330,1468,14680,5803,65
28043,1628,16282,3496,106
28638,1546,15462,1942,7
27516,654,6539,2885,17
27608,1079,10790,1252,3
28328,1653,16530,4455,62
27047,1267,12666,162,2
27537,1293,12930,3274,41
27401,1241,12408,2509,31
27040,1074,10738,1412,13
28078,1268,12679,8378,67
27541,1152,11523,466,2
27966,631,6314,93,0
27017,1637,16370,1555,20
27360,1443,14432,6975,84
28086,1822,18223,4918,76
28203,1552,15522,2960,6
28622,1103,11031,291,1
27849,1011,10115,150,3
28449,628,6282,123,1
27601,1039,10388,1261,8
28340,1620,16204,1740,40
28462,1050,10504,1503,20
27020,1625,16252,992,10
28508,1290,12902,385,7
28213,1606,16062,7282,56
28311,1172,11724,4226,36
28124,1505,15053,1056,10
28677,1578,15783,5621,70
27869,1652,16521,358,17
27405,1246,12459,6542,65
27214,1240,12403,1457,16
27927,1011,10114,62,0
28428,1043,10431,745,3
