Zip Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1241,12406,1857,14
27007,1358,13577,292,2
27009,1379,13790,406,4
27011,1453,14526,792,7
27012,1312,13121,3817,57
27013,1518,15181,991,12
27014,1599,15987,154,5
27016,1504,15042,259,4
27017,1638,16381,1564,20
27018,1226,12261,1011,10
27019,1134,11337,486,1
27020,1632,16317,999,10
27021,1347,13466,2433,53
27022,939,9392,144,3
27023,1104,11037,1415,6
27024,1536,15356,412,4
27025,1220,12198,1369,32
27027,1140,11402,460,19
27028,1413,14134,4007,45
27030,1574,15743,5973,131
27040,1078,10776,1423,13
27041,1352,13516,1097,9
27042,1222,12222,89,2
27043,1206,12061,786,9
27045,1418,14181,1366,12
27046,1091,10906,217,2
27047,1267,12666,162,2
27048,1111,11110,995,12
27050,1214,12145,497,6
27051,1259,12586,1050,9
27052,1327,13269,1338,28
27053,976,9759,313,4
27054,1706,17063,452,5
27055,1564,15639,2286,32
27101,1027,10271,2505,48
27103,1150,11497,4178,47
27104,1118,11177,3298,41
27105,1384,13838,5597,52
27106,1099,10993,5689,65
27107,1324,13240,6978,61
27127,1378,13776,5331,29
27157,0,0,0,0
27203,1590,15899,3499,60
27205,1436,14356,5004,55
27207,1174,11745,447,2
27208,1360,13601,232,3
27209,2067,20670,867,42
27212,2575,25750,414,1
27214,1249,12488,1474,16
27215,1377,13771,6232,79
27217,1711,17108,6743,108
27229,1704,17040,686,18
27231,737,7373,154,0
27233,1217,12174,448,4
27235,1248,12481,575,13
27239,1363,13626,1316,20
27242,1064,10645,285,5
27243,877,8767,414,4
27244,1737,17369,2839,27
27248,1257,12575,612,6
27249,1258,12580,1695,19
27252,804,8039,182,2
27253,1542,15418,4885,58
27258,1217,12171,954,8
27260,1198,11982,3102,49
27262,1147,11472,2863,67
27263,1296,12957,2921,46
27265,1189,11887,5993,65
27268,1988,19882,337,0
27278,829,8289,2266,23
27281,981,9811,366,4
27282,1110,11104,1857,27
27283,1325,13246,397,5
27284,1285,12852,7270,98
27288,1198,11978,2846,64
27291,1125,11248,174,0
27292,1415,14149,5888,53
27295,1514,15144,5975,74
27298,1238,12375,1303,13
27299,1774,17739,938,9
27301,1441,14413,1454,22
27302,1165,11646,3792,23
27305,1293,12934,205,1
27306,1633,16333,973,21
27310,1002,10021,863,4
27311,1314,13137,426,4
27312,623,6233,1390,26
27313,1089,10895,800,26
27314,931,9315,108,1
27315,897,8972,195,0
27316,1358,13583,974,16
27317,1441,14408,2590,32
27320,1216,12159,4772,59
27325,1386,13861,1066,13
27326,1287,12866,480,2
27330,1473,14726,5844,65
27332,1306,13061,4405,34
27340,0,0,0,0
27341,1198,11976,701,4
27343,891,8913,165,0
27344,1343,13432,2601,37
27349,1381,13812,809,6
27350,1199,11987,907,11
27355,1033,10325,331,2
27356,1258,12582,449,8
27357,1433,14330,1199,21
27358,926,9261,1495,8
27360,1449,14486,7045,87
27370,1497,14971,2207,39
27371,1468,14682,1144,16
27376,1203,12030,1196,23
27377,1422,14223,1376,12
27379,1248,12481,769,25
27401,1245,12452,2527,31
27403,930,9296,1997,23
27405,1251,12508,6618,65
27406,1234,12345,7576,125
27407,1174,11740,5887,76
27408,937,9370,1643,9
27409,1134,11341,2053,20
27410,930,9298,5334,56
27411,2113,21133,179,0
27412,276,2757,52,0
27455,1096,10957,3214,71
27501,1360,13600,2925,28
27502,804,8044,3544,11
27503,413,4126,300,1
27504,1746,17457,2869,33
27505,1218,12178,897,16
27507,945,9450,194,3
27508,1504,15043,356,1
27509,2962,29618,2065,39
27510,717,7172,1045,8
27511,806,8061,2760,28
27513,664,6642,3272,25
27514,701,7011,2331,24
27516,656,6555,2910,17
27517,552,5522,1600,17
27518,709,7090,1627,19
27519,603,6034,3639,11
27520,1521,15215,6717,77
27521,1392,13918,1001,12
27522,1135,11354,1555,10
27523,868,8684,1116,2
27524,1569,15689,2136,30
27525,1469,14690,2310,5
27526,1144,11437,6215,65
27527,1364,13640,4140,17
27529,1339,13392,7262,78
27530,1128,11278,4549,89
27531,315,3153,21,0
27534,1183,11826,3786,89
27536,1473,14734,2447,47
27537,1298,12977,3308,41
27539,866,8661,2312,9
27540,1038,10383,4086,12
27541,1157,11573,477,2
27542,1300,13004,1316,19
27544,1210,12095,521,4
27545,1495,14947,4554,42
27546,1428,14276,3217,85
27549,1242,12421,3145,39
27551,730,7302,163,3
27553,2670,26700,542,0
27556,0,0,0,0
27557,1311,13110,1208,11
27559,654,6541,191,1
27560,756,7563,2563,14
27562,1218,12182,342,1
27563,934,9337,503,9
27565,1248,12476,3266,49
27569,1523,15227,1371,12
27571,1510,15098,1124,1
27572,832,8324,614,3
27573,1437,14367,1672,58
27574,1068,10681,1640,16
27576,1414,14141,2873,23
27577,1669,16685,4235,57
27581,1082,10819,430,2
27583,1228,12279,864,8
27587,1312,13120,9768,60
27589,1109,11092,925,11
27591,1541,15409,3635,32
27592,1263,12627,2206,11
27596,1382,13819,2589,7
27597,1676,16761,4307,26
27599,NA,NA,0,0
27601,1046,10462,1278,8
27603,1240,12405,6918,45
27604,1260,12602,6030,53
27605,1494,14944,785,19
27606,970,9698,4671,13
27607,901,9008,2742,13
27608,1084,10842,1268,3
27609,1089,10890,4235,28
27610,1623,16227,12099,96
27612,1024,10243,4047,40
27613,908,9075,4255,15
27614,989,9894,3742,23
27615,998,9979,4615,50
27616,1422,14220,7886,35
27617,1048,10481,2055,3
27701,1068,10680,2835,17
27703,1166,11664,7191,34
27704,1346,13457,5330,39
27705,904,9035,4369,86
27707,1006,10058,4769,17
27708,1394,13937,646,0
27709,0,0,0,0
27710,NA,NA,0,0
27712,861,8606,1905,32
27713,810,8095,4390,31
27801,1337,13370,2911,29
27803,1249,12490,2811,34
27804,1432,14318,4197,95
27805,905,9047,343,4
27806,893,8931,220,4
27807,1718,17176,1197,14
27808,1036,10359,259,6
27809,1231,12314,650,10
27810,1162,11624,494,9
27812,1210,12098,357,2
27813,1557,15575,108,0
27814,966,9661,174,2
27816,1230,12301,326,4
27817,1292,12923,1017,9
27818,1127,11269,143,1
27820,860,8597,283,6
27821,0,0,0,0
27822,1462,14618,1339,19
27823,1342,13415,1057,11
27824,948,9481,146,0
27826,827,8273,103,2
27827,0,0,0,0
27828,1475,14749,1335,11
27829,1389,13889,261,1
27830,1025,10251,501,8
27831,1257,12570,453,7
27832,1449,14492,424,8
27834,1581,15807,9141,57
27837,1480,14802,965,4
27839,1016,10157,383,5
27840,1477,14766,79,3
27841,0,0,0,0
27842,669,6685,97,0
27843,1670,16702,160,2
27844,1372,13722,417,7
27845,929,9293,265,11
27846,1473,14728,458,5
27847,672,6723,72,0
27849,1011,10115,150,3
27850,832,8323,622,7
27851,1326,13262,744,10
27852,1129,11291,394,3
27853,0,0,0,0
27855,1006,10057,617,6
27856,1723,17230,2994,36
27857,1212,12117,195,8
27858,1496,14963,8743,23
27860,1343,13434,279,4
27862,741,7407,70,0
27863,1215,12155,1554,27
27864,1528,15281,744,8
27865,1603,16026,322,8
27866,1622,16220,109,2
27869,1647,16474,359,17
27870,1516,15162,4056,71
27871,1263,12629,567,10
27872,0,0,0,0
27874,1194,11939,569,12
27875,1409,14090,72,2
27876,1171,11705,152,4
27880,1601,16006,528,1
27881,0,0,0,0
27882,1485,14848,1189,15
27883,1103,11030,483,9
27884,1385,13851,216,1
27885,3725,37253,320,5
27886,1389,13887,3017,75
27888,1306,13057,366,2
27889,1583,15833,4408,81
27890,1309,13094,315,17
27891,1281,12812,642,9
27892,1512,15115,2185,34
27893,1524,15241,6226,134
27896,1503,15034,3197,40
27897,770,7702,192,1
27909,1120,11202,4634,96
27910,1309,13093,1524,52
27915,897,8971,69,0
27916,1498,14982,83,0
27917,1245,12454,135,6
27919,933,9331,114,1
27920,940,9399,133,0
27921,947,9467,512,7
27922,958,9575,107,4
27923,646,6465,65,0
27924,1057,10573,373,4
27925,1218,12176,514,6
27926,636,6361,127,1
27927,1011,10114,62,0
27928,1091,10911,211,5
27929,795,7953,156,2
27932,1520,15201,1932,36
27935,848,8483,142,3
27936,583,5827,56,1
27937,806,8065,347,6
27938,1126,11259,163,7
27939,834,8338,283,5
27941,985,9851,66,0
27942,716,7158,68,1
27943,0,0,0,0
27944,1052,10515,1292,11
27946,891,8907,97,0
27947,1018,10178,86,1
27948,979,9786,1230,2
27949,901,9012,656,3
27950,536,5360,119,0
27953,1240,12399,123,0
27954,1165,11647,751,3
27956,0,0,0,0
27957,1036,10359,147,7
27958,958,9585,1176,10
27959,1228,12281,303,1
27960,1257,12570,115,0
27962,1217,12166,915,21
27964,505,5054,33,0
27965,851,8511,52,0
27966,631,6314,95,0
27968,0,0,0,0
27969,NA,NA,0,0
27970,1207,12072,390,8
27972,0,0,0,0
27973,931,9310,139,0
27974,778,7782,108,0
27976,966,9660,348,1
27978,0,0,0,0
27979,673,6729,124,0
27980,1417,14169,294,6
27981,1052,10521,196,1
27982,NA,NA,0,0
27983,1185,11850,1264,30
27986,732,7321,194,4
28001,1657,16566,4724,110
28006,1796,17958,208,2
28012,1614,16144,3947,37
28016,1552,15517,2269,35
28018,1459,14589,874,28
28020,1603,16031,400,2
28021,1666,16664,2271,47
28023,1779,17786,2651,31
28025,1525,15246,8470,93
28027,1381,13812,10301,91
28031,1246,12464,3889,29
28032,1616,16159,531,3
28033,1743,17430,596,4
28034,1946,19464,3496,43
28036,1198,11976,2232,17
28037,1534,15339,3678,9
28039,0,0,0,0
28040,1410,14099,1190,18
28043,1634,16342,3557,107
28052,1677,16772,6226,109
28054,1648,16482,6659,107
28056,1572,15724,5633,69
28071,1557,15572,501,5
28073,1634,16340,923,14
28075,1410,14102,2715,18
28077,1059,10592,60,0
28078,1271,12706,8446,67
28079,1411,14113,5652,42
28080,1505,15055,1238,6
28081,1549,15494,4410,53
28083,1601,16010,4162,55
28086,1828,18282,4982,77
28088,2020,20203,620,1
28090,1384,13837,1188,21
28091,1271,12707,302,4
28092,1708,17075,6900,61
28097,1956,19562,1208,5
28098,1581,15810,637,4
28101,0,0,0,0
28103,1545,15450,1760,31
28104,1301,13006,4252,18
28105,1161,11609,5287,78
28107,1705,17052,1405,11
28110,1599,15991,8918,96
28112,1632,16315,4610,63
28114,1344,13438,1225,16
28115,1430,14301,5967,53
28117,1353,13525,6468,23
28119,1335,13349,407,9
28120,1500,14997,3673,48
28124,1505,15053,1068,11
28125,1460,14603,390,3
28127,1915,19146,1466,14
28128,1455,14547,1187,17
28129,1590,15901,966,10
28133,1423,14228,388,7
28134,1461,14606,1736,29
28135,1195,11947,719,7
28137,1291,12907,500,5
28138,1514,15139,1774,34
28139,1538,15382,3132,106
28144,1723,17229,4487,80
28146,1656,16556,5050,73
28147,1904,19043,5015,104
28150,1636,16357,4836,104
28152,1585,15852,4169,60
28159,1996,19962,626,23
28160,1895,18954,769,12
28163,1422,14224,837,3
28164,1514,15142,2356,46
28166,1555,15545,1547,25
28167,1390,13896,338,5
28168,1710,17103,1800,20
28170,1426,14263,1800,45
28173,1259,12588,8071,37
28174,1691,16905,1580,11
28202,1710,17099,2872,3
28203,1556,15564,2979,6
28204,1603,16033,1403,7
28205,1280,12798,6661,70
28206,1488,14885,2285,13
28207,1100,11003,1076,6
28208,1583,15835,6359,57
28209,1186,11860,3094,16
28210,1273,12726,5716,47
28211,1100,11001,3456,73
28212,1456,14556,6252,43
28213,1611,16115,7342,56
28214,1686,16861,6988,45
28215,1588,15884,9623,76
28216,1473,14732,8694,69
28217,1397,13966,4323,24
28223,88,884,26,0
28226,1076,10756,4348,36
28227,1457,14573,8391,70
28262,1430,14301,6269,49
28269,1309,13093,10714,65
28270,981,9809,3421,31
28273,1521,15211,6194,43
28277,998,9981,7229,33
28278,1330,13298,4341,21
28301,1412,14116,2511,76
28303,1057,10569,3674,40
28304,1077,10766,4302,38
28305,1222,12216,618,7
28306,1276,12759,5479,53
28307,941,9408,1459,0
28308,258,2578,19,0
28310,1546,15461,1372,0
28311,1177,11771,4277,38
28312,1326,13258,2467,44
28314,1288,12878,6952,53
28315,1425,14255,1913,23
28318,1474,14741,677,6
28320,1625,16246,1526,32
28323,1278,12779,592,2
28326,1254,12541,2832,15
28327,1375,13747,2525,37
28328,1656,16560,4480,62
28333,1391,13914,1500,30
28334,1755,17551,4617,65
28337,1404,14044,1686,31
28338,1220,12198,589,9
28339,1532,15320,1112,13
28340,1623,16232,1748,41
28341,1346,13465,688,5
28343,1576,15763,248,7
28344,1612,16125,615,7
28345,1547,15471,1969,39
28347,1386,13855,253,1
28348,1348,13481,4901,44
28349,1901,19014,759,17
28350,0,0,0,0
28351,1342,13418,712,7
28352,1547,15472,3931,79
28356,1467,14672,728,7
28357,1216,12159,394,4
28358,1786,17860,6893,129
28360,1834,18342,2748,40
28363,1594,15941,174,1
28364,1673,16730,2549,41
28365,1288,12882,2207,52
28366,1846,18455,959,14
28369,1664,16644,373,8
28371,1379,13790,990,15
28372,1933,19333,2955,40
28373,1344,13440,344,4
28374,1040,10396,1891,52
28375,0,0,0,0
28376,1280,12799,5639,63
28377,1703,17030,2229,38
28379,1476,14757,3827,82
28382,1277,12765,1030,17
28383,1819,18190,1409,22
28384,1762,17617,2197,29
28385,1717,17171,518,3
28386,1935,19347,1180,13
28387,1130,11296,1944,61
28390,1112,11118,2637,22
28391,1296,12955,699,10
28392,1699,16988,265,5
28393,1593,15926,344,6
28394,1131,11306,691,5
28395,1389,13888,374,3
28396,1277,12766,347,8
28398,1661,16606,1282,25
28399,1520,15202,295,3
28401,1241,12411,3021,60
28403,1297,12972,5465,30
28405,1212,12118,4103,35
28409,1058,10576,3720,30
28411,1099,10989,4281,38
28412,1073,10729,4646,57
28420,1212,12119,626,12
28421,931,9314,190,4
28422,1045,10447,910,13
28423,1418,14179,324,3
28425,1391,13909,1765,26
28428,1043,10431,752,3
28429,1258,12585,1080,12
28430,1606,16058,330,6
28431,1801,18009,1216,29
28432,2316,23159,391,4
28433,1289,12894,685,8
28434,965,9654,131,4
28435,1180,11805,346,5
28436,1445,14446,337,4
28438,1783,17832,301,3
28439,1660,16602,257,10
28441,1388,13882,462,5
28442,1384,13841,240,7
28443,1391,13908,3139,28
28444,1370,13696,312,1
28445,1514,15144,1238,18
28447,1327,13268,177,0
28448,929,9293,113,1
28449,628,6282,124,1
28450,1356,13559,325,11
28451,1224,12239,4837,39
28452,2008,20078,103,2
28453,1777,17766,739,7
28454,1172,11722,416,5
28455,1956,19558,336,4
28456,1433,14330,513,9
28457,1218,12181,1578,16
28458,1386,13864,978,16
28460,1477,14771,1576,6
28461,822,8219,1700,19
28462,1052,10518,1516,21
28463,2030,20304,2005,44
28464,1734,17342,432,7
28465,798,7978,667,7
28466,1601,16010,1671,41
28467,1083,10831,1240,20
28468,921,9214,498,3
28469,1194,11937,904,19
28470,1115,11148,1512,47
28472,1573,15728,3155,77
28478,1373,13726,685,7
28479,1606,16065,789,12
28480,1337,13372,368,0
28501,1343,13426,2642,48
28504,1625,16250,3436,53
28508,1290,12902,387,7
28510,998,9981,154,0
28511,764,7643,48,0
28512,922,9217,345,6
28513,1356,13561,1482,5
28515,1256,12561,442,3
28516,981,9814,1238,8
28518,1602,16017,1415,21
28519,0,0,0,0
28520,0,0,0,0
28521,1598,15981,361,9
28523,1500,14996,343,3
28524,0,0,0,0
28525,1466,14657,485,4
28526,1275,12752,308,5
28527,2144,21436,196,2
28528,859,8594,55,0
28529,1623,16227,417,8
28530,1481,14811,1113,16
28531,997,9972,141,3
28532,981,9807,2566,8
28533,NA,NA,0,0
28537,0,0,0,0
28538,1361,13615,461,3
28539,1155,11550,2101,19
28540,1289,12889,6805,76
28542,1095,10950,674,0
28543,710,7102,478,2
28544,1209,12092,681,9
28545,521,5212,209,0
28546,1290,12898,6762,63
28547,1307,13066,1856,0
28551,1412,14118,2021,27
28552,0,0,0,0
28553,670,6705,35,1
28555,1457,14568,687,4
28556,696,6957,82,1
28557,1135,11348,1750,11
28560,1311,13113,3820,62
28561,NA,NA,0,0
28562,1280,12797,4887,55
28570,1168,11681,2670,14
28571,657,6567,206,3
28572,1684,16836,1078,13
28573,1261,12606,312,17
28574,1563,15625,2791,28
28577,555,5546,33,0
28578,1035,10349,737,10
28579,664,6642,53,0
28580,1366,13665,1653,39
28581,0,0,0,0
28582,1299,12993,240,2
28583,NA,NA,0,0
28584,1149,11495,1493,15
28585,1259,12590,530,9
28586,1953,19532,1653,12
28587,0,0,0,0
28590,1578,15781,4212,21
28594,1109,11093,408,4
28601,1723,17228,8614,122
28602,1610,16100,5051,95
28604,1040,10405,671,7
28605,859,8593,358,4
28606,1284,12843,306,3
28607,1075,10747,4035,22
28608,NA,NA,0,0
28609,1450,14496,944,12
28610,1688,16878,1742,19
28611,1084,10838,107,0
28612,1442,14417,2164,45
28613,1642,16418,4153,67
28615,1009,10090,193,1
28617,1224,12240,302,3
28618,903,9032,224,2
28621,1661,16606,1738,39
28622,1103,11031,293,1
28623,1311,13112,225,0
28624,1062,10618,201,4
28625,1506,15061,5878,111
28626,823,8231,249,1
28627,834,8344,128,0
28629,0,0,0,0
28630,1540,15401,3150,29
28631,1660,16604,91,0
28634,1321,13209,700,10
28635,1486,14856,603,8
28636,1620,16197,850,17
28637,2786,27858,443,5
28638,1550,15502,1960,7
28640,1534,15338,742,19
28642,1459,14593,820,11
28643,1019,10195,356,5
28644,975,9745,153,0
28645,1476,14758,7073,74
28646,0,0,0,0
28649,1335,13346,139,1
28650,1628,16278,2192,24
28651,1455,14550,972,14
28654,1261,12605,479,8
28655,1506,15063,8838,103
28657,1220,12196,1185,21
28658,1816,18157,4720,56
28659,1560,15600,3292,61
28660,1378,13784,323,3
28663,1161,11608,85,0
28665,1222,12224,365,4
28667,0,0,0,0
28668,0,0,0,0
28669,1315,13150,414,5
28670,1398,13981,447,6
28672,0,0,0,0
28673,1276,12762,851,6
28675,1405,14048,962,5
28676,1420,14199,492,5
28677,1585,15848,5678,72
28678,1428,14280,756,7
28679,754,7540,160,2
28681,1583,15828,4287,82
28682,1392,13922,154,2
28683,1096,10962,214,3
28684,772,7724,170,1
28685,1289,12893,247,0
28689,1673,16727,278,2
28690,1547,15466,1476,17
28692,782,7815,354,1
28693,1264,12640,215,1
28694,1175,11752,954,16
28697,1517,15169,2038,41
28698,1052,10521,194,1
28701,940,9400,461,4
28702,483,4830,34,0
28704,1373,13729,3003,25
28705,918,9180,661,2
28708,522,5224,70,1
28709,910,9099,212,2
28711,784,7836,1207,34
28712,1064,10644,2102,30
28713,1202,12022,1136,15
28714,1393,13934,2392,28
28715,1011,10107,2794,28
28716,1107,11072,2078,52
28717,1516,15160,224,5
28718,774,7743,47,0
28719,2108,21080,1464,11
28720,0,0,0,0
28721,1088,10878,1188,13
28722,1074,10738,738,13
28723,1084,10841,1279,3
28725,0,0,0,0
28726,1455,14553,508,6
28729,1394,13936,416,2
28730,838,8383,852,10
28731,1300,12998,1210,16
28732,1100,11001,2085,9
28733,0,0,0,0
28734,1289,12887,3699,43
28735,0,0,0,0
28736,986,9865,75,0
28739,936,9357,2069,27
28740,1192,11917,256,0
28741,1241,12408,394,6
28742,1200,11997,340,4
28743,1007,10074,246,7
28745,1371,13712,82,0
28746,983,9834,256,5
28747,703,7032,182,5
28748,1041,10407,1329,18
28749,NA,NA,0,0
28751,1078,10781,403,10
28752,1747,17469,5559,73
28753,1091,10915,1348,21
28754,1193,11935,1064,26
28756,1071,10713,517,4
28757,NA,NA,0,0
28759,1150,11504,913,7
28761,1688,16884,1445,25
28762,1445,14455,1109,12
28763,992,9916,288,2
28766,1298,12975,200,1
28768,1027,10272,816,3
28771,1493,14929,1230,25
28772,1195,11946,232,2
28773,1163,11631,410,10
28774,790,7903,126,3
28775,0,0,0,0
28777,1710,17101,1787,18
28778,929,9294,1014,13
28779,1166,11658,2075,46
28781,1014,10136,97,0
28782,865,8646,564,10
28783,919,9186,175,3
28785,857,8569,719,5
28786,1062,10620,2341,51
28787,1097,10967,2293,38
28789,890,8899,586,5
28790,1166,11656,440,5
28791,1046,10461,1661,33
28792,1261,12614,4815,81
28801,781,7806,1322,26
28803,887,8868,3096,60
28804,784,7841,1841,24
28805,724,7242,1491,28
28806,987,9865,4364,67
28901,1461,14605,888,16
28902,1063,10627,168,1
28904,1297,12973,1255,31
28905,1497,14966,537,8
28906,1373,13727,2802,43
28909,1011,10112,111,4
